Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Barber's Tales,2013,120,Jun Robles Lana,"['Ferdinand Lapuz', 'Antonio Tuviera']",['Jun Robles Lana'],['Lawrence S. Ang'],['Carlo Mendoza'],['Chito Sumera'],['Ryan Cayabyab'],"['Mark Locsin', 'Warren Santiago']",['drama'],"['Eugene Domingo', 'Eddie Garcia', 'Iza Calzado', 'Gladys Reyes', 'Shamaine Buencamino', 'Daniel Fernando', 'Sue Prado', 'Nicco Manalo', 'Nora Aunor', 'Jess Mendoza', 'Nonie Buencamino', 'Katrina Halili', 'Soliman Cruz', 'Menggie Cobarrubias', 'Malou Crisologo', 'Lui Manansala', 'Hector Macaso', 'Lowell Conales', 'Kat Castillo', 'Jelson Bay', 'Gigi Columna', 'Joe Gruta', 'Chloe Carpio', 'Lao Rodriguez', 'Star Orjaliza', 'Nina Editha Guimalda', 'Kyla Margareth Eupina', 'Hyleinna Nicole Ampil', 'Caprice Cayetano']",nan,4.5,https://letterboxd.com//film/barbers-tales/
Moral,1982,138,Marilou Diaz-Abaya,nan,['Ricardo Lee'],"['Manolo R. Abaya', 'Marc Tarnate']",['Manolo R. Abaya'],['Fiel Zabat'],['George Canseco'],['Rolly Ruta'],['drama'],"['Lorna Tolentino', 'Gina Alajar', 'Sandy Andolong', 'Anna Marin', 'Juan Rodrigo', 'Michael Sandico', 'Ronald Bregendahl', 'Laurice Guillen', 'Manny Luna', 'Mia Gutierrez', 'Lito Pimentel', 'Odette Khan', 'Ernie Garcia', 'Dexter Doria', 'Claire de la Fuente']",nan,4.42,https://letterboxd.com//film/moral/
Himala,1982,124,Ishmael Bernal,['Bibsy N. Carballo'],['Ricardo Lee'],['Ike Jarlego Jr.'],['Sergio Lobo'],['Raquel Villavicencio'],['Winston Raval'],['Vic Macamay'],['drama'],"['Nora Aunor', 'Spanky Manikan', 'Vangie Labalan', 'Gigi Dueñas', 'Laura Centeno', 'Pen Medina', 'Ama Quiambao', 'Joel Lamangan', 'Cris Daluz', 'Veronica Palileo', 'Ray Ventura', 'Ben Almeda', 'Aura Mijares', 'Tony Angeles', 'Joe Gruta']",nan,4.27,https://letterboxd.com//film/himala/
This Is My Country,1984,105,Lino Brocka,nan,['Jose F. Lacaba'],['George Jarlego'],['Conrado Baltazar'],['Joey Luna'],['Jess Santiago'],"['Rudy Baldovino', 'Willy Islao']","['action', 'drama', 'crime']","['Phillip Salvador', 'Gina Alajar', 'Venchito Galvez', 'Ariosto Reyes Jr.', 'Bey Vito', 'Aida Carmona', 'Nomer Son', 'Paquito Diaz', 'Jess de la Paz', 'Lorli Villanueva', 'Raul Aragon', 'Rez Cortez', 'Fred Capulong', 'Jippi Reyes', 'Roger Moring', 'Fred Param', 'Khryss Adalia', 'Louella', 'Gamay Arkoncel', 'Peachy Atutubo', 'Rey Malte-Cruz', 'Adjay de la Cruz', 'Cesar Dimaculangan', 'Bituin Rada', 'Tony Rubio', 'Evelyn Vargas', 'Connie Chua', 'Mae Paner', 'Original Thunder Stuntmen', 'Allan Noble', 'Maharlika Stuntmen', 'Claudia Zobel', 'Carmi Martin', 'SOS Daredevils', 'Nanding Fernandez', 'Edna May Landicho', 'Bing Magtoto', 'Nanette Venturanza', 'Mona Lisa', 'Lucita Soriano', 'Lucy Quinto', 'Greg Sta. Inez', 'Joe Taruc']",nan,4.23,https://letterboxd.com//film/this-is-my-country/
Manila in the Claws of Light,1975,127,Lino Brocka,"['Mike de Leon', 'Severino Manotok Jr.']",['Clodualdo del Mundo Jr.'],"['Ike Jarlego Jr.', 'Edgardo Jarlego']","['Mike de Leon', 'Clodualdo del Mundo Jr.']",nan,['Max Jocson'],"['Ramon Reyes', 'Luis S. Reyes']","['drama', 'mystery']","['Bembol Roco', 'Lou Salvador Jr.', 'Tommy Abuel', 'Lily Gamboa Mendoza', 'Joonee Gamboa', 'Pio De Castro III', 'Joe Jardi', 'Spanky Manikan', 'Danilo Posadas', 'Pancho Pelagio', 'Bobby Roldan', ""Jerry O'Hara"", 'Rudy Hermano', 'Rikki Jimenez', 'Chiqui Xerxes-Burgos', 'Tommy Yap', 'Juling Bagabaldo', 'Joe Gruta', 'Nina Lorenzo', 'Mely Mallari', 'Fred Capulong', 'Orlando Nadres', 'Estrella Kuenzler', ""Edwin O'Hara"", 'Lorli Villanueva', ""Mario O'Hara"", 'Sibyl Santiago', 'Edipolo Erosido', 'Purita Yap', 'Josephine Gutierrez', 'Gina Zegui', 'Ronnie Magalong', 'Anna Marie Nicolas', 'Victor Diendo', 'Abelardo Reyes', 'Julie de Guzman', 'Brenda Fajardo', 'Cita Javellana', 'Ellen Cacho', 'Sabrina', 'Pitay', 'Veronica', 'Jun Macapinlac', 'Ricardo de Guzman', 'Socrates B. Jose', 'Greg Llenado', 'Arturo Soquerata', 'Jojo Abella', 'Hilda Koronel']",nan,4.19,https://letterboxd.com//film/manila-in-the-claws-of-light/
Cleaners,2019,78,Glenn Barit,"['Manet A. Dayrit', 'Noni Abao', 'Tiara Orig', 'Eduardo Lejano, Jr.']",['Glenn Barit'],"['Che Tagyamon', 'Noah Loyola']",['Steven Evangelio'],['Alvin Francisco'],['Glenn Barit'],"['Daryl Libongco', 'Sam Valenia', 'John Michael Perez']",['comedy'],"['Ianna Taguinod', 'Leomar Baloran', 'Julian Narag', 'Carlo Mejia', 'Gianne Rivera', 'Charise Mabbonag', 'Allan Gannaban', 'Andrei Marquez']",nan,4.18,https://letterboxd.com//film/cleaners-2019/
Evolution of a Filipino Family,2004,647,Lav Diaz,"['Lav Diaz', 'Eric Tanedo']",['Lav Diaz'],['Lav Diaz'],"['Paul Tañedo', 'Richard C. De Guzman']",['Patty Eustaquio'],nan,nan,['drama'],"['Pen Medina', 'Ronnie Lazaro', 'Angel Aquino', 'Joel Torre', 'Gino Dormiendo', 'Elryan de Vera', 'Angie Ferro', 'Marife Necesito', 'Lui Manansala', 'Banaue Miclat', 'Sigrid Andrea Bernardo', 'Ray Ventura', 'Dido De La Paz', 'Roeder Camanag', 'Lorelie Futol', 'Erwin Gonzales', 'Mario Magallona', 'Quark Henares', 'Joe Gruta', 'Fonz Deza', 'Divina Cavestany', 'Noel Miralles', 'Noel Sto. Domingo', 'Kenneth Tiamzon', 'Raye Baquirin', 'Mark Dionisio', 'Glen Parian', 'Epifanio Enriquez', 'Patty Eustaquio', 'Marivic Abalos', 'Micole Alcantara', 'Hector Macaso', 'Leo Fonseca', 'Rodeliza Abella-Altamonte', 'Joy Domingo', 'Sylvia Palazo', 'Benjamin Baylon', 'Norvi Morauda', 'Maribel Baylon', 'Kristina Lesley Cabuyao', 'Tony Angeles', 'Ester Chavez', 'Salvador Royales', 'Eloisa Cruz Canlas', 'Betty Roa', 'Susan Robles', 'Rosanna Villegas', 'Phil Cruz', 'Bobby Cruz', 'Jun Legazpi', 'Roxlee', 'Lourd De Veyra', 'Dante Perez', 'Johnny Magdasoc', 'Michael Ranola', 'George Vibar', 'Panong Cuadra', 'Ernie Enrique', 'Nani Romano', 'Doi Rosete', 'Poi Beltran', 'Ferdinand Marcos, Sr.', 'Imelda Marcos', 'Juan Ponce Enrile', 'Corazon Aquino', 'Fidel Ramos', 'Charles Young']",nan,4.17,https://letterboxd.com//film/evolution-of-a-filipino-family/
Kisapmata,1981,98,Mike de Leon,"['Charo Santos-Concio', 'Simon C. Ongpin']","['Mike de Leon', 'Clodualdo del Mundo Jr.', 'Raquel Villavicencio']",['Jess Navarro'],['Rody Lacap'],['Cesar Hernando'],['Lorrie Ilustre'],['Ramon Reyes'],"['crime', 'thriller', 'drama']","['Charo Santos-Concio', 'Jay Ilagan', 'Vic Silayan', 'Charito Solis', 'Ruben Rustia', 'Juan Rodrigo', 'Aida Carmona', 'Cora Alforja', 'Dindo Angeles', 'Mely Mallari', ""Edwin O'Hara""]",nan,4.16,https://letterboxd.com//film/kisapmata/
"Gold, Silver, Death",1982,194,Peque Gallaga,['Madeleine Gallaga'],"['Jose Javier Reyes', 'Mario Taguiwalo']",['Jess Navarro'],['Rody Lacap'],"['Rodell Cruz', 'Don Escudero']",['Toto Gentica'],['Ramon Reyes'],"['war', 'drama']","['Joel Torre', 'Cherie Gil', 'Manny Ojeda', 'Liza Lorena', 'Sandy Andolong', 'Mitch Valdez', 'Lorli Villanueva', 'Ronnie Lazaro', 'Abbo De La Cruz', 'Mely Mallari', 'Mary Walter', 'Agustin Gatia', 'Robert Antonio', 'Benjamin Delina', 'Carmelo Sta. Maria', 'Wilbert Cardeñas', 'Noel Soriano', 'Kuh Ledesma', 'Gigi Dueñas', 'Fernanda de los Reyes', 'Jaime Fabregas']",nan,4.16,https://letterboxd.com//film/gold-silver-death/
Fight for Us,1989,94,Lino Brocka,nan,['Jose F. Lacaba'],"['George Jarlego', 'Sabine Mamou', 'Bob Wade']",['Rody Lacap'],"['Benjie De Guzman', 'Ed Cruz', 'Edwin Hipolito', 'Buboy Tagayon', 'Dodoy Tayao']",nan,"['Honesto Canares', 'Alfredo Sabile']","['drama', 'action', 'crime']","['Phillip Salvador', 'Dina Bonnevie', 'Gina Alajar', 'Bembol Roco', 'Ginnie Sobrino', 'Abbo De La Cruz', 'Pen Medina', 'Joel Lamangan', 'Gerard Bernschein', 'Ernie Zarate', 'Jess Ramos', 'Obby Castañeda', 'Pocholo Montes', 'Bon Vibar', 'Raquel Villavicencio']",nan,4.13,https://letterboxd.com//film/fight-for-us/
Magnifico,2003,122,Maryo J. de los Reyes,nan,['Michiko Yamamoto'],['Manet A. Dayrit'],['Odyssey Flores'],['Gerry Santos'],['Lutgardo Labad'],['Arnold Reodica'],['drama'],"['Jiro Manio', 'Lorna Tolentino', 'Albert Martinez', 'Gloria Romero', 'Celia Rodriguez', 'Mark Gil', 'Amy Austria', 'Cherry Pie Picache', 'Danilo Barrios', 'Susan Africa', 'Isabelle De Leon', 'Dindin Llarena', 'Joseph Roble', 'Girlie Sevilla', 'Dido De La Paz', 'David Granado', 'Jon Romano']",nan,4.13,https://letterboxd.com//film/magnifico/
Ode to Nothing,2018,92,Dwein Baltazar,"['Kriz Gazmen', 'Marizel Samson-Martinez', 'Bianca Balbuena', 'Iana Bernardez']",['Dwein Baltazar'],['Dwein Baltazar'],['Neil Daza'],['Marxie Maolen Fadul'],['Richard Gonzales'],['Immanuel Verona'],"['horror', 'drama']","['Pokwang', 'Joonee Gamboa', 'Angelita Loresco', 'Dido De La Paz', 'Anthony Falcon', 'Iana Bernardez']",nan,4.12,https://letterboxd.com//film/ode-to-nothing/
Dekada '70,2002,128,Chito S. Roño,nan,['Lualhati Bautista'],['Jess Navarro'],['Neil Daza'],['Manny Morfe'],['Nonong Buencamino'],nan,['drama'],"['Vilma Santos', 'Christopher de Leon', 'Piolo Pascual', 'Marvin Agustin', 'Carlos Agassi', 'Danilo Barrios', 'Ana Capri', 'Dimples Romana', 'John Wayne Sace', 'Jhong Hilario', 'Tirso Cruz III', 'Marianne dela Riva', 'Carlo Muñoz', 'Kris Aquino', 'Orestes Ojeda', 'Kakai Bautista', 'Manjo del Mundo', 'Ihman Esturco', 'Dido De La Paz', 'Mel Kimura']",nan,4.11,https://letterboxd.com//film/dekada-70/
John Denver Trending,2019,96,Arden Rod Condez,nan,['Arden Rod Condez'],['Benjo Ferrer'],['Rommel Sales'],['Harley Alcasid'],['Len Calvo'],"['Mikko Quizon', 'Kat Salinas']",['drama'],"['Jansen Magpusao', 'Meryll Soriano', 'Glenn Mas', 'Sammy Rubido', 'Vince Philip Alegre', 'Jofranz Ambubuyog', 'Christian Alarcon', 'Zandro Leo Canlog', 'Andy Yuarata', 'Ricky Perez', 'Renato Sagot', 'Enrique Sanchez', 'Janet Samulde', 'Elmer Yuarata', 'Eldin Labris', 'Sunshine Teodoro', 'Luz Venus', 'Estela Patino', 'Joerlyn Samulde', 'Akia Buenaflor', 'Shan Estoya', 'Jinalyn Tandoy']",nan,4.1,https://letterboxd.com//film/john-denver-trending/
Inang Yaya,2006,99,"Veronica Velasco, Pablo Biglang-awa",nan,['Veronica Velasco'],nan,nan,nan,nan,nan,['drama'],"['Maricel Soriano', 'Sunshine Cruz', 'Zoren Legaspi', 'Liza Lorena', 'Marita Zobel', 'Ericka Oreta', 'Tala Santos', 'J.M. Reyes', 'Soliman Cruz']",nan,4.09,https://letterboxd.com//film/inang-yaya/
West Side Avenue,2001,301,Lav Diaz,['Joey Gosiengfiao'],['Lav Diaz'],['Ronald Allan Dale'],['Miguel V. Fabie III'],['Cesar Hernando'],['Joey Ayala'],"['Rudy Gonzales', 'Alex Tomboc']","['drama', 'crime', 'mystery']","['Yul Servo', 'Gloria Diaz', 'Joel Torre', 'Priscilla Almeda', 'Angel Aquino', 'Arthur Acuña', 'Raul Arellano', 'Ruben Tizon', 'Jomar Roldan', 'Michelle Salvador', 'Ged Merino', 'Joseph Pe', 'Malik Walton', 'Arianne Recto', 'Eric Celerio', 'Liza Deocampo', 'Preston Barnes']",nan,4.1,https://letterboxd.com//film/west-side-avenue/
Insiang,1976,95,Lino Brocka,['Rogelio B. Pasicolan'],"[""Mario O'Hara"", 'Lamberto E. Antonio']",['Augusto Salvador'],['Conrado Baltazar'],nan,['Minda D. Azarcon'],"['Rudy Baldovino', 'Ago Salvador']",['drama'],"['Hilda Koronel', 'Mona Lisa', 'Rez Cortez', 'Marlon Ramirez', 'Ruel Vernal', 'Nina Lorenzo', 'Mely Mallari', 'Carpi Asturias', 'George Atutubo', 'Eddie Pagayon', 'Joe Jardi', 'Danilo Posadas', 'Estrella Antonio', 'Jimmy Calaguas', 'Belen Chikote', 'Tommy Yap']",nan,4.1,https://letterboxd.com//film/insiang/
From What Is Before,2014,338,Lav Diaz,nan,['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],['Perry Dizon'],nan,['Mark Locsin'],['drama'],"['Perry Dizon', 'Roeder Camanag', 'Hazel Orencio', 'Karenina Haniel', 'Reynan Abcede', 'Mailes Kanapi', 'Ian Lomongo', 'Joel Saracho', 'Evelyn Vargas', 'Noel Sto. Domingo', 'Gutierrez “Teng” Mangansakan II', 'Ching Valdes-Aran', 'Bambi Beltran', 'Dea Formacil', 'Kristian Chua', 'Kim Perez', 'Kyla Domingo', 'Liryc Dela Cruz', 'Kristine Kintana', 'Allen Alzola', 'Jun Catenza', 'Richard Bolisay']",nan,4.09,https://letterboxd.com//film/from-what-is-before/
Weighed But Found Wanting,1974,128,Lino Brocka,nan,"['Lino Brocka', ""Mario O'Hara""]",['Augusto Salvador'],['Joe Batac'],nan,['Lutgardo Labad'],['Gregorio Ella'],['drama'],"['Christopher de Leon', 'Lolita Rodriguez', ""Mario O'Hara"", 'Hilda Koronel', 'Eddie Garcia', 'Lilia Dizon', 'Alicia Alonzo', 'Joseph Sytangco', 'Rosa Aguirre', 'Lorli Villanueva', 'Lily Miraflor', 'Joonee Gamboa', 'Ernie Zarate', 'Mely Mallari', 'Estrella Kuenzler', 'Anita Linda']",nan,4.08,https://letterboxd.com//film/weighed-but-found-wanting/
Turumba,1981,87,Kidlat Tahimik,nan,['Kidlat Tahimik'],['Karl Fugunt'],['Boy Yñiguez'],nan,['Mandy Afuang'],"['Rolly Ruta', 'Ed de Guia', 'Neidhart Franke']","['comedy', 'drama']","['Homer Abiad', 'Iñigo Vito', 'Maria Pehipol', 'Patricio Abari', 'Bernarda Pacheco', 'Katrin de Guia', 'Claudia Aderes']",nan,4.06,https://letterboxd.com//film/turumba/
Blessings of the Land,1959,111,Manuel Silos,nan,"['Celso Al. Carunungan', 'Pablo Naval']",['Enrique Jarlego'],['Remegio Young'],nan,['Juan Silos Jr.'],['July P. Hidalgo'],"['drama', 'crime', 'family']","['Rosa Rosal', 'Tony Santos', 'Leroy Salvador', 'Carmencita Abad', 'Carlos Padilla Jr.', 'Marita Zobel', 'Joseph de Cordova', 'Mila Ocampo', 'Danilo Jurado', 'Tony Dantes', 'Mario Roldan']",nan,4.06,https://letterboxd.com//film/blessings-of-the-land/
Six Degrees of Separation from Lilia Cuntapay,2011,93,Antoinette Jadaone,"['Joenathan Alandy', 'Daphne Chiu']",['Antoinette Jadaone'],"['Glenn Ituriaga', 'Leo Valencia']",['Ma. Solita Garcia'],['Digo Ricio'],['Ayn Marie Dimaya'],"['Ditoy Aguila', 'Junel Valencia']","['comedy', 'documentary', 'drama']","['Lilia Cuntapay', 'Geraldine Villamil', 'Antoinette Jadaone', 'Joel Saracho', 'Neil Colango', 'Chanel Latorre', 'Raymond Rinoza', 'Peque Gallaga', 'Rita Daniela']",nan,4.06,https://letterboxd.com//film/six-degrees-of-separation-from-lilia-cuntapay/
Manila by Night,1980,150,Ishmael Bernal,['Lily Y. Monteverde'],"['Ishmael Bernal', 'Ricardo Lee']",['Augusto Salvador'],['Sergio Lobo'],['Peque Gallaga'],nan,['Vic Macamay'],['drama'],"['Charito Solis', 'Alma Moreno', 'Lorna Tolentino', 'Rio Locsin', 'Cherie Gil', 'Gina Alajar', 'Orestes Ojeda', 'William Martinez', 'Johnny Wilson', 'Jojo Santiago', 'Sharon Manabat', 'Mitch Valdez', 'Rolly Lapid', 'Rey Tomenes', 'Bernardo Bernardo', 'Maya Valdes', 'Abbo De La Cruz', 'Perry Fajardo']",nan,4.05,https://letterboxd.com//film/manila-by-night/
Death in the Land of Encantos,2007,540,Lav Diaz,nan,['Lav Diaz'],"['Lav Diaz', 'Jay Ramirez']",['Lav Diaz'],['Dante Perez'],nan,nan,['drama'],"['Angeli Bayani', 'Perry Dizon', 'Dante Perez', 'Sophia Aves', 'Soliman Cruz', 'Gemma Cuenca', 'At Maculangan', 'Jenny Guinto', 'Roeder Camanag', 'Amalia Virtucio', 'Kalila Aguilos', 'Juan Francisco Penaranda', 'Ashleigh Beatrice Penaranda', 'Jason Escobel', 'Benjamin B. Arienda Jr.']",nan,4.05,https://letterboxd.com//film/death-in-the-land-of-encantos/
Once a Moth,1976,109,Lupita Aquino-Kashiwahara,['Digna Santiago'],['Marina Feleo-Gonzales'],['Edgardo Vinarao'],['Joe Batac'],nan,['Restie Umali'],nan,['drama'],"['Nora Aunor', 'Jay Ilagan', 'Gloria Sevilla', 'Perla Bautista', 'Eddie Villamayor', 'Paquito Salcedo', 'Leo Martinez', 'Lily Miraflor', 'Nanding Fernandez', 'Luz Fernandez', 'German Moreno', 'Carlos Padilla Jr.', 'Ricky Sandico', 'Leopoldo Salcedo', 'Michael Sandico']",nan,4.04,https://letterboxd.com//film/once-a-moth/
Liway,2018,104,Kip Oebanda,['Alemberg Ang'],"['Zig Madamba Dulay', 'Kip Oebanda']",['Chuck Gutierrez'],['Pong Ignacio'],['Aped Santos'],['Nhick Ramiro Pacis'],nan,['drama'],"['Glaiza de Castro', 'Ken-ken Nuyad', 'Dominic Roco', 'Soliman Cruz', 'Joel Saracho', 'Sue Prado', 'Upeng Fernandez', 'Renante Bustamante', 'Khalil Ramos', 'Nico Antonio', ""Paolo O'Hara"", 'Ebong Joson', 'She Maala', 'Gerry Cornejo', 'Pau Benitez', 'Liway Gabo', 'Julie Bautista', 'Diana Alferez', 'Vance Larena', 'Nathan Senok', 'Nel Estuya', 'Alfonso Manalastas']",nan,4.03,https://letterboxd.com//film/liway/
Batch '81,1982,100,Mike de Leon,nan,"['Mike de Leon', 'Clodualdo del Mundo Jr.', 'Raquel Villavicencio']",['Jess Navarro'],['Rody Lacap'],['Cesar Hernando'],['Lorrie Ilustre'],['Ramon Reyes'],"['drama', 'thriller']","['Mark Gil', 'Sandy Andolong', 'Ward Luarca', 'Noel Trinidad', 'Ricky Sandico', 'Bing Pimentel', 'Charito Solis', 'Chanda Romero', 'Johnny Delgado', 'Dang Cecilio', 'Nanette Inventor', 'Armida Siguion-Reyna', 'Raquel Villavicencio']",nan,4.02,https://letterboxd.com//film/batch-81/
Ekstra,2013,111,Jeffrey Jeturian,nan,"['Jeffrey Jeturian', 'Zig Madamba Dulay', 'Antoinette Jadaone']","['Zig Madamba Dulay', 'Glenn Ituriaga']",['Lee Briones-Meily'],['Ericson Navarro'],['Vincent de Jesus'],['Addiss Tabong'],"['drama', 'comedy']","['Vilma Santos', 'Fatima Centeno', 'Marlon Rivera', 'Vincent de Jesus', 'Ruby Ruiz', 'Tart  Carlos', 'Hazel Faith Dela Cruz', 'Martha Comia', 'Erlinda Villalobos', 'Antonette Garcia', 'Raymond Rinoza', 'Rex Lantano', 'Jake Seneres', 'Cherie Gil', 'Pilar Pilapil', 'Marian Rivera', 'Eula Valdez', 'Cherry Pie Picache', 'Richard Yap', 'Piolo Pascual', 'Tom Rodriguez', 'Terence Baylon']",nan,4.02,https://letterboxd.com//film/ekstra/
Balangiga: Howling Wilderness,2017,120,Khavn,"['Khavn', 'Achinette Villamor', 'Edong Canlas']","['Khavn', 'Jerry Gracio', 'Achinette Villamor']",['Carlo Francisco Manatad'],['Albert Banzon'],"['Timmy Harn', 'Marija Vicente', 'Zeus Bascon']",['Khavn'],['Mikko Quizon'],"['history', 'drama', 'adventure']","['Justine Samson', 'Pio del Rio', 'Warren Tuaño', 'Daniel Palisa', 'Althea Vega', 'Lourd De Veyra', 'Roxlee', 'Lolita Carbon', 'Jean Judith Javier', 'Henry Strzalkowski', 'Don Gordon Bell', 'Unicorn Belmonte', 'Bounty Bautista', 'Milagros Balintay', 'Danny Capawa', 'Zeus Bascon', 'Kim Perez', 'Mark Dela Cruz', 'Donel Lijauco', 'Dexter Dulla']",nan,4.01,https://letterboxd.com//film/balangiga-howling-wilderness/
Honor Thy Father,2015,115,Erik Matti,nan,"['Michiko Yamamoto', 'Erik Matti']",['Jay Halili'],['Ber Cruz'],['Ericson Navarro'],['Erwin Romulo'],['Mikko Quizon'],"['drama', 'crime', 'thriller']","['John Lloyd Cruz', 'Meryll Soriano', 'Tirso Cruz III', 'Dan Fernandez', 'Khalil Ramos', 'Perla Bautista', 'Yayo Aguila', 'William Martinez', 'Lander Vera-Perez', 'Boom Labrusca', 'Krystal Brimner', 'Dalin Sarmiento', 'Rod Leido']",nan,4.0,https://letterboxd.com//film/honor-thy-father-2015/
Three Godless Years,1976,124,Mario O'Hara,nan,"[""Mario O'Hara""]","['Ike Jarlego Jr.', 'Efren Jarlego']",['Conrado Baltazar'],nan,['Minda D. Azarcon'],['Dan Del Rosario'],"['romance', 'war', 'drama']","['Nora Aunor', 'Christopher de Leon', 'Bembol Roco', 'Orlando Nadres', 'Peque Gallaga', 'Mario Escudero', 'Yolanda Luna', ""Edwin O'Hara"", 'Joey Galvez', 'Dante Balois', 'Soxy Topacio', 'Licerio Tabalon', 'Tommy Yap', 'Nina Lorenzo', 'Estrella Antonio', 'Melvin Flores', 'Jon Garcia-Ariño', 'George Atutubo', 'Peachy Callo']",nan,4.0,https://letterboxd.com//film/three-godless-years/
Melancholia,2008,450,Lav Diaz,nan,['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],['Dante Perez'],nan,nan,['drama'],"['Angeli Bayani', 'Perry Dizon', 'Roeder Camanag', 'Dante Perez', 'Raul Arellano', 'Malaya', 'Irma Adlawan', 'Cooky Chua', 'Yanyan Taa', 'Soliman Cruz', 'Emmanuel Dela Cruz', 'Carme Sanchez']",nan,3.99,https://letterboxd.com//film/melancholia-2008/
The Woman in the Septic Tank 3: The Real Untold Story of Josephine Bracken,2019,nan,Marlon Rivera,nan,['Chris Martinez'],nan,nan,nan,nan,nan,['comedy'],"['Eugene Domingo', 'Jose Javier Reyes', 'Ambeth Ocampo', 'Nico Antonio', 'Natileigh Sitoy', 'Dylan Ray Talon', 'Dolly de Leon']",nan,3.99,https://letterboxd.com//film/the-woman-in-the-septic-tank-3-the-real-untold-story-of-josephine-bracken-2019/
"Norte, The End of History",2013,250,Lav Diaz,['Moira Lang'],"['Michiko Yamamoto', 'Moira Lang', 'Lav Diaz', 'Rody Vera']",['Lav Diaz'],['Larry Manda'],['Perry Dizon'],['Perry Dizon'],"['Corinne de San Jose', 'Mark Locsin']","['drama', 'crime']","['Sid Lucero', 'Angeli Bayani', 'Archie Alemania', 'Mailes Kanapi', 'Soliman Cruz', 'Mae Paner', 'Hazel Orencio', 'Perry Dizon', 'Barbie Capacio', 'Ian Lomongo', 'Kristian Chua', 'Noel Sto. Domingo', 'Moira Lang', 'Sheenly Gener', 'Dea Formacil', 'Kristine Kintana', 'Lex Marcos', 'Luis Galang III', 'Edino Pascual', 'Julia Domingo', 'Spider Rodas', 'Clement Andrada', 'Paolo Rodriguez']",nan,3.99,https://letterboxd.com//film/norte-the-end-of-history/
Heneral Luna,2015,118,Jerrold Tarog,['E.A. Rocha'],"['Jerrold Tarog', 'E.A. Rocha', 'Henry Francia']",['Jerrold Tarog'],['Pong Ignacio'],"['Benjamin Padero', 'Carlo Tabije']",['Jerrold Tarog'],['Mikko Quizon'],"['action', 'history', 'comedy', 'drama', 'war']","['John Arcilla', 'Mon Confiado', 'Arron Villaflor', 'Bing Pimentel', 'Mylene Dizon', 'Perla Bautista', 'Lorenz Martinez', 'Joem Bascon', 'Alvin Anson', 'Alex Vincent Medina', 'Arthur Acuña', 'Archie Alemania', 'Jeffrey Quizon', 'Leo Martinez', 'Nonie Buencamino', 'Ketchup Eusebio', 'Ronnie Lazaro', 'Paulo Avelino', 'Benjamin Alves', 'Oj Mariano', 'Dennis Marasigan', 'Allan Paule', 'Anthony Falcon', 'E.A. Rocha', 'Miguel Faustmann', 'Marc Abaya', 'Julia Enriquez', 'Xandra Rocha-Araneta', 'Jaime P. Habac Jr.', 'Pepe Herrera', 'Andy Kunz']",nan,3.98,https://letterboxd.com//film/heneral-luna/
Brutal,1980,113,Marilou Diaz-Abaya,nan,['Ricardo Lee'],"['Manolo R. Abaya', 'Marc Tarnate']",['Manolo R. Abaya'],['Don Escudero'],['George Canseco'],"['Rolly Ruta', 'Amang Sanchez']",['drama'],"['Amy Austria', 'Gina Alajar', 'Charo Santos-Concio', 'Jay Ilagan', 'Perla Bautista', 'Joonee Gamboa', 'Johnny Delgado', 'Nello Nayo', 'Robert Tongco', 'Boy Sabiniano', 'Ogie Martinez', 'Jun Villena']",nan,3.97,https://letterboxd.com//film/brutal-1980/
Kakabakaba Ka Ba?,1980,104,Mike de Leon,nan,"['Mike de Leon', 'Clodualdo del Mundo Jr.', 'Raquel Villavicencio']",['Ike Jarlego Jr.'],['Rody Lacap'],['Raquel Villavicencio'],['Lorrie Ilustre'],"['Ramon Reyes', 'Luis S. Reyes']",['comedy'],"['Christopher de Leon', 'Charo Santos-Concio', 'Jay Ilagan', 'Sandy Andolong', 'Boboy Garovillo', 'Johnny Delgado', 'Armida Siguion-Reyna', 'Leo Martinez', 'Moody Diaz', 'Joe Jardi', 'Danny Javier', 'George Javier', 'Nanette Inventor', 'Bert Miranda', 'Tommy Yap', 'Ella Reyes', 'Marietta Sta. Juana', 'Roger Vivero', 'Manny Tibayan', 'Lily Miraflor', 'Ike Jarlego Jr.', 'Danny Rojo', 'Marlene Natividad', 'Pinky Buencamino', 'Yamin Olfindo', 'Thaemar Panuncialman', 'Lea Locsin', 'Ding Achacoso', 'Cesar Hernando', 'Noli Gamboa', 'Romy Dollero', 'Joseph Olfindo', 'Fred Punzal', 'Precy Beltran', 'Jim Paredes']",nan,3.97,https://letterboxd.com//film/kakabakaba-ka-ba/
